"","Day","Hr","ActFrcst","GenFrac","Date"
"117",8,2,1,9.23888079629297e-05,2017-02-24
"118",9,2,1,0.337082810261395,2017-02-25
"119",10,2,1,0.382660880765806,2017-02-26
"120",11,2,1,0.825140932453545,2017-02-27
"121",12,2,1,0.976961164413032,2017-02-28
"122",13,2,1,0.979502148154403,2017-03-01
"123",14,2,1,0.181289093819882,2017-03-02
"124",15,2,1,0.929304190595815,2017-03-03
"125",16,2,1,0.743545758698066,2017-03-04
"126",17,2,1,0.997508257645386,2017-03-05
"127",18,2,1,0.00934084986571964,2017-03-06
"128",19,2,1,0.443321654433686,2017-03-07
"129",20,2,1,0.489414235672132,2017-03-08
"130",21,2,1,0.933223055635828,2017-03-09
"131",22,2,1,0.0149868002231874,2017-03-10
"132",23,2,1,0.958083391619172,2017-03-11
"133",24,2,1,0.44246812217916,2017-03-12
"134",25,2,1,0.184374854289105,2017-03-13
"135",26,2,1,0.218399202357524,2017-03-14
"136",27,2,1,0.948346263930165,2017-03-15
"137",28,2,1,0.997723034402069,2017-03-16
"138",29,2,1,0.761871755251555,2017-03-17
"139",30,2,1,0.420944823428707,2017-03-18
"140",31,2,1,0.999999999874767,2017-03-19
"141",32,2,1,0.510103228021382,2017-03-20
"142",33,2,1,0.388674596829586,2017-03-21
"143",34,2,1,0.892508937295159,2017-03-22
"144",35,2,1,0.830599805086712,2017-03-23
"145",36,2,1,0.999999999872226,2017-03-24
"146",37,2,1,0.749037881797246,2017-03-25
"147",38,2,1,0.953517796075846,2017-03-26
"148",39,2,1,0.0511486636334911,2017-03-27
"149",40,2,1,0.0451253409502161,2017-03-28
"150",41,2,1,0.0527091204933353,2017-03-29
"151",42,2,1,0.351449717164243,2017-03-30
"152",43,2,1,0.93255380842795,2017-03-31
"153",44,2,1,0.986013710972848,2017-04-01
"154",45,2,1,0,2017-04-02
"155",46,2,1,0.999999999867942,2017-04-03
"156",47,2,1,0.508532264220192,2017-04-04
"157",48,2,1,0.882175515510366,2017-04-05
"158",49,2,1,0.499915560845143,2017-04-06
"159",50,2,1,0.807483185915435,2017-04-07
"160",51,2,1,0.342791331534916,2017-04-08
"161",52,2,1,0.108199155680499,2017-04-09
"162",53,2,1,0.432673206713858,2017-04-10
"163",54,2,1,0.963889186094889,2017-04-11
"164",55,2,1,0.996212098300568,2017-04-12
"165",56,2,1,0.999999999865584,2017-04-13
"166",57,2,1,0.999999999865501,2017-04-14
"167",58,2,1,0.462084641946171,2017-04-15
"168",59,2,1,0.146448200238847,2017-04-16
"169",60,2,1,0.999999999865455,2017-04-17
"170",61,2,1,0.78396797026135,2017-04-18
"171",62,2,1,0.89160271211366,2017-04-19
"172",63,2,1,0.757320859971119,2017-04-20
"173",64,2,1,0.954985800240802,2017-04-21
"174",65,2,1,0.658893371876171,2017-04-22
"175",66,2,1,0.27806362532814,2017-04-23
"176",67,2,1,0.392581638091827,2017-04-24
"177",68,2,1,0.67638914125474,2017-04-25
"178",69,2,1,0,2017-04-26
"179",70,2,1,0.0699232709784827,2017-04-27
"180",71,2,1,0.151754478545917,2017-04-28
"181",72,2,1,0.666678125850234,2017-04-29
"182",73,2,1,0.981733865182931,2017-04-30
"183",74,2,1,0.961998647717809,2017-05-01
"184",75,2,1,0.996735354667333,2017-05-02
"185",76,2,1,0.837583213906558,2017-05-03
"186",77,2,1,0.80903322488246,2017-05-04
"187",78,2,1,0,2017-05-05
"188",79,2,1,0.548255605686289,2017-05-06
"189",80,2,1,0.616774561537233,2017-05-07
"190",81,2,1,0.970589079533501,2017-05-08
"191",82,2,1,0.967707041352533,2017-05-09
"192",83,2,1,0.765158747379871,2017-05-10
"193",84,2,1,0.850177578679211,2017-05-11
"194",85,2,1,0.964011712795257,2017-05-12
"195",86,2,1,0.798240100745502,2017-05-13
"196",87,2,1,0.759055609141677,2017-05-14
"197",88,2,1,0.421694983388835,2017-05-15
"198",89,2,1,0.12298480354942,2017-05-16
"199",90,2,1,0.0552760324690627,2017-05-17
"200",91,2,1,0.43373132108962,2017-05-18
"201",92,2,1,0.974210133807622,2017-05-19
"202",93,2,1,0.112258634946941,2017-05-20
"203",94,2,1,0.0522674070754427,2017-05-21
"204",95,2,1,0.453495071395897,2017-05-22
"205",96,2,1,0.805598639325479,2017-05-23
"206",97,2,1,0.790093181528118,2017-05-24
"207",98,2,1,0.81458852019194,2017-05-25
"208",99,2,1,0.923484179753504,2017-05-26
"209",100,2,1,0.769429848310006,2017-05-27
"210",101,2,1,0.75657866267275,2017-05-28
"211",102,2,1,0.666176961209476,2017-05-29
"212",103,2,1,0.942489663959356,2017-05-30
"213",104,2,1,0.934074789165153,2017-05-31
"214",105,2,1,0.640373139338691,2017-06-01
"215",106,2,1,0.888527646957145,2017-06-02
"216",107,2,1,0.885873877711721,2017-06-03
"217",108,2,1,0.498032223990278,2017-06-04
"218",109,2,1,0.713425226434971,2017-06-05
"219",1,3,1,0.10644270571122,2017-02-17
"220",2,3,1,0.388309754377176,2017-02-18
"221",3,3,1,0.878230316037593,2017-02-19
"222",4,3,1,0.999999999890405,2017-02-20
"223",5,3,1,0.798150354170071,2017-02-21
"224",6,3,1,0.0048085845616774,2017-02-22
"225",7,3,1,0.0532682940176943,2017-02-23
"226",8,3,1,0.000739195410745701,2017-02-24
"227",9,3,1,0.206050583748975,2017-02-25
"228",10,3,1,0.368638255600751,2017-02-26
"229",11,3,1,0.776087298977332,2017-02-27
"230",12,3,1,0.937151359831817,2017-02-28
"231",13,3,1,0.929621784899188,2017-03-01
"232",14,3,1,0.179352564783529,2017-03-02
"233",15,3,1,0.852834141526951,2017-03-03
"234",16,3,1,0.671541779820955,2017-03-04
"235",17,3,1,0.96755046770874,2017-03-05
"236",18,3,1,0.021485209220463,2017-03-06
"237",19,3,1,0.214478033628899,2017-03-07
"238",20,3,1,0.374727946978391,2017-03-08
"239",21,3,1,0.879519475467728,2017-03-09
"240",22,3,1,0.0224952453138018,2017-03-10
"241",23,3,1,0.99999999987912,2017-03-11
"242",24,3,1,0.311962488330432,2017-03-12
"243",25,3,1,0.268370604965531,2017-03-13
"244",26,3,1,0.216210830867289,2017-03-14
"245",27,3,1,0.896437544741216,2017-03-15
"246",28,3,1,0.994010105340077,2017-03-16
"247",29,3,1,0.811744860197364,2017-03-17
"248",30,3,1,0.412659686580917,2017-03-18
"249",31,3,1,0.999999999874767,2017-03-19
"250",32,3,1,0.664523500756418,2017-03-20
"251",33,3,1,0.185706062939818,2017-03-21
"252",34,3,1,0.773689151757908,2017-03-22
"253",35,3,1,0.7973221932728,2017-03-23
"254",36,3,1,0.999999999869235,2017-03-24
"255",37,3,1,0.569519166443558,2017-03-25
"256",38,3,1,0.896348748385866,2017-03-26
"257",39,3,1,0.0209813205255975,2017-03-27
"258",40,3,1,0.0204254648707008,2017-03-28
"259",41,3,1,0.123403161915991,2017-03-29
"260",42,3,1,0.395512773994937,2017-03-30
"261",43,3,1,0.82862717174709,2017-03-31
"262",44,3,1,0.909581468076508,2017-04-01
"263",45,3,1,0,2017-04-02
"264",46,3,1,0.999999999865135,2017-04-03
